R,Ti
16.65319599,93.25035361
16.91612601,93.25035361
17.18320732,93.25035361
17.45450547,93.25035361
17.73008702,93.25035361
18.0100196,93.25035361
18.29519075,96.92503536
19.17207614,82.22630835
19.47564733,85.9009901
19.78313981,85.9009901
20.09548714,85.9009901
20.412766,85.9009901
20.73505423,85.9009901
21.06243093,85.9009901
21.39497643,85.9009901
22.42143753,74.87694484
22.7754398,74.87694484
23.13606675,78.55162659
23.50135198,78.55162659
23.87240455,78.55162659
24.2493155,78.55162659
24.63217733,78.55162659
25.021084,78.55162659
25.41613095,78.55162659
25.81857067,82.22630835
27.05605038,67.52758133
27.48445664,71.20226308
27.9183967,71.20226308
28.35918805,71.20226308
28.80693886,71.20226308
29.26175901,71.20226308
29.72376012,71.20226308
30.19305557,71.20226308
30.66976051,71.20226308
31.15538635,74.87694484
31.64728512,74.87694484
33.16413412,60.17821782
33.68925595,63.85289958
34.22116087,63.85289958
34.7614638,63.85289958
35.31029735,63.85289958
35.86779618,63.85289958
36.43409712,63.85289958
37.00933914,63.85289958
37.5936634,63.85289958
38.1872133,63.85289958
38.7901345,63.85289958
39.40433857,67.52758133
40.02647643,67.52758133
41.94681606,56.50353607
42.60909599,56.50353607
43.28183236,56.50353607
43.96519027,56.50353607
44.65933742,56.50353607
45.36444416,56.50353607
46.08068352,56.50353607
46.80823127,56.50353607
47.54726595,56.50353607
48.29796893,56.50353607
49.06052443,56.50353607
49.83511958,56.50353607
50.62194448,56.50353607
51.42349376,60.17821782
52.2353968,60.17821782
53.06011862,60.17821782
53.89786162,60.17821782
54.74393072,52.82885431
55.60576984,49.15417256
56.48370501,49.15417256
57.37550152,49.15417256
58.28137821,49.15417256
59.20155738,49.15417256
60.13626487,49.15417256
61.08573004,49.15417256
62.05018591,49.15417256
63.02986914,49.15417256
64.02502016,49.15417256
65.03588319,49.15417256
66.0627063,49.15417256
67.10574146,49.15417256
68.16524465,49.15417256
69.24147587,49.15417256
70.33469923,49.15417256
71.44838082,52.82885431
72.57644804,52.82885431
73.72232583,52.82885431
74.8829437,49.15417256
76.06523773,49.15417256
77.26619849,49.15417256
78.48612069,49.15417256
79.72173546,45.47949081
80.97680264,41.80480905
82.25530994,41.80480905
83.55400304,41.80480905
84.87320063,41.80480905
86.21322646,41.80480905
87.57440937,41.80480905
88.9570834,41.80480905
90.36158786,41.80480905
91.78826744,41.80480905
93.23747223,41.80480905
94.70955788,41.80480905
96.20488565,41.80480905
97.72382249,41.80480905
99.26674116,41.80480905
100.8340203,41.80480905
102.4260445,41.80480905
104.0432045,41.80480905
105.6858972,41.80480905
107.3545255,41.80480905
109.0494992,41.80480905
110.771234,41.80480905
112.5201525,41.80480905
114.296684,41.80480905
116.1012643,41.80480905
117.9343364,41.80480905
